GeneID,adj.P.Val,pvalue,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
8339,0,0,0.152,-40.24837,-6.101776,31580.2,H2BC8,H2B clustered histone 8
3856,1.76E-268,1.81E-272,0.208,-35.26819,-7.348946,59728.7,KRT8,keratin 8
55959,9.38E-247,1.44E-250,0.142,-33.80928,-4.808865,4803.8,SULF2,sulfatase 2
54843,8.52E-234,1.75E-237,0.195,-32.90699,-6.416726,2273.12,SYTL2,synaptotagmin like 2
8352,8.85E-223,2.27E-226,0.399,-32.12071,-12.825628,15565.87,H3C3,H3 clustered histone 3
8342,2.86E-215,8.80E-219,0.34,-31.57253,-10.746373,4695.17,H2BC14,H2B clustered histone 14
3018,2.13E-213,7.63E-217,0.241,-31.43101,-7.571813,2019.31,H2BC3,H2B clustered histone 3
3691,3.94E-191,1.61E-194,0.18,-29.75239,-5.359682,1316.3,ITGB4,integrin subunit beta 4
8345,6.18E-189,2.85E-192,0.203,-29.57821,-5.992472,24766.23,H2BC9,H2B clustered histone 9
8821,2.26E-188,1.16E-191,0.209,-29.53081,-6.157276,1690.17,INPP4B,inositol polyphosphate-4-phosphatase type II B
2674,1.05E-186,5.94E-190,0.193,-29.39732,-5.685078,2857,GFRA1,GDNF family receptor alpha 1
9353,5.60E-173,3.44E-176,0.243,28.30015,6.867321,1659.28,SLIT2,slit guidance ligand 2
10642,2.09E-172,1.39E-175,0.213,28.25082,6.017609,1881.01,IGF2BP1,insulin like growth factor 2 mRNA binding protein 1
8471,2.10E-170,1.53E-173,0.389,28.08409,10.915677,7556.31,IRS4,insulin receptor substrate 4
5358,2.10E-170,1.62E-173,0.167,28.08219,4.694942,2548.64,PLS3,plastin 3
135398,2.87E-161,2.36E-164,0.231,-27.32151,-6.302478,1044.94,C6orf141,chromosome 6 open reading frame 141
113218482,2.43E-159,2.11E-162,0.274,-27.15664,-7.434763,5922.42,MIR9898,microRNA 9898
1465,4.48E-155,4.13E-158,0.257,-26.79086,-6.8965,911.28,CSRP1,cysteine and glycine rich protein 1
999,4.34E-154,4.23E-157,0.197,-26.70402,-5.248352,1525.43,CDH1,cadherin 1
2099,1.12E-153,1.14E-156,0.326,-26.66675,-8.686768,1560.72,ESR1,estrogen receptor 1
1364,9.76E-151,1.05E-153,0.346,-26.41009,-9.143351,1955.2,CLDN4,claudin 4
154796,1.87E-147,2.11E-150,0.2,26.12095,5.229937,1684.19,AMOT,angiomotin
27092,1.12E-139,1.32E-142,0.262,-25.42548,-6.652172,721.06,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4
84612,1.86E-139,2.29E-142,0.175,-25.40387,-4.441809,2548.12,PARD6B,par-6 family cell polarity regulator beta
3009,2.15E-138,2.75E-141,0.437,-25.30595,-11.047795,4799.11,H1-5,"H1.5 linker histone, cluster member"
60681,1.97E-133,2.63E-136,0.225,24.84936,5.59483,1141.71,FKBP10,FKBP prolyl isomerase 10
57535,8.46E-132,1.17E-134,0.292,-24.69638,-7.216197,834.3,ELAPOR1,endosome-lysosome associated apoptosis and autophagy regulator 1
9687,8.55E-132,1.23E-134,0.205,-24.6945,-5.068306,2279.48,GREB1,growth regulating estrogen receptor binding 1
165679,2.22E-127,3.29E-130,0.275,-24.27868,-6.687944,657.12,SPTSSB,serine palmitoyltransferase small subunit B
10053,6.83E-127,1.05E-129,0.315,-24.23096,-7.621687,728.5,AP1M2,adaptor related protein complex 1 subunit mu 2
23613,2.18E-126,3.47E-129,0.152,-24.18169,-3.686072,2684.77,ZMYND8,zinc finger MYND-type containing 8
105378260,3.64E-126,5.96E-129,0.422,-24.15929,-10.19715,1951.26,LOC105378260,replaced by ID 85319
124359,1.07E-124,1.81E-127,0.225,-24.01784,-5.407797,542.06,CDYL2,chromodomain Y like 2
4940,8.06E-122,1.40E-124,0.232,-23.73974,-5.501508,766.48,OAS3,2'-5'-oligoadenylate synthetase 3
3875,2.52E-120,4.51E-123,0.251,-23.59336,-5.920137,6667.06,KRT18,keratin 18
100133941,3.42E-119,6.30E-122,0.201,-23.48151,-4.725683,929.15,CD24,CD24 molecule
57580,1.30E-118,2.46E-121,0.149,-23.42359,-3.486048,1640.39,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"
55841,2.91E-118,5.66E-121,0.349,-23.38802,-8.17162,788.74,WWC3,WWC family member 3
1366,8.19E-117,1.64E-119,0.249,-23.24401,-5.784382,804.89,CLDN7,claudin 7
26509,1.72E-116,3.52E-119,0.232,-23.21109,-5.384279,1404.33,MYOF,myoferlin
100652759,1.34E-114,2.81E-117,0.285,-23.02199,-6.564633,762.65,PRICKLE2-AS1,PRICKLE2 antisense RNA 1
56937,3.49E-114,7.52E-117,0.188,-22.97925,-4.318111,1259.29,PMEPA1,"prostate transmembrane protein, androgen induced 1"
6542,2.18E-113,4.81E-116,0.146,-22.89849,-3.3379,2229.04,SLC7A2,solute carrier family 7 member 2
323,2.98E-113,6.71E-116,0.167,-22.88399,-3.824946,1531.04,APBB2,amyloid beta precursor protein binding family B member 2
1303,2.89E-110,6.65E-113,0.195,-22.58108,-4.40084,1533.27,COL12A1,collagen type XII alpha 1 chain
4281,4.05E-104,9.54E-107,0.23,21.9456,5.043702,768.4,MID1,midline 1
107984204,2.55E-103,6.13E-106,0.316,-21.86086,-6.907079,601.69,LOC107984204,
6566,3.92E-103,9.63E-106,0.217,21.8402,4.731233,775.13,SLC16A1,solute carrier family 16 member 1
171019,5.02E-100,1.26E-102,0.283,-21.50984,-6.076926,4899.39,ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19
762,5.30E-100,1.36E-102,0.246,-21.50639,-5.284268,574.76,CA4,carbonic anhydrase 4
115207,1.14E-99,2.98E-102,0.244,21.46989,5.230733,855.71,KCTD12,potassium channel tetramerization domain containing 12
57758,1.74E-98,4.64E-101,0.381,-21.34187,-8.134232,636.46,SCUBE2,"signal peptide, CUB domain and EGF like domain containing 2"
11187,1.10E-97,2.98E-100,0.317,-21.25481,-6.747043,860.64,PKP3,plakophilin 3
2355,1.88E-97,5.20E-100,0.187,-21.22857,-3.975257,917.02,FOSL2,"FOS like 2, AP-1 transcription factor subunit"
7022,2.22E-97,6.24E-100,0.203,-21.22001,-4.308462,617.45,TFAP2C,transcription factor AP-2 gamma
85319,8.62E-97,2.47E-99,0.511,-21.1552,-10.807087,1914.34,BAGE2,"BAGE family member 2, pseudogene"
8202,8.82E-97,2.57E-99,0.224,-21.15329,-4.738779,5151.12,NCOA3,nuclear receptor coactivator 3
5339,6.67E-96,1.98E-98,0.132,-21.05678,-2.77154,4824.32,PLEC,plectin
54847,1.98E-95,5.98E-98,0.232,-21.00439,-4.87297,392.53,SIDT1,SID1 transmembrane family member 1
7057,2.45E-95,7.53E-98,0.346,-20.99343,-7.256181,457.75,THBS1,thrombospondin 1
102724852,7.20E-95,2.25E-97,0.333,-20.94137,-6.982292,772.63,LOC102724852,replaced by ID 100033819
8942,8.12E-95,2.60E-97,0.318,-20.93446,-6.664071,411.88,KYNU,kynureninase
2065,8.12E-95,2.62E-97,0.18,-20.93407,-3.772708,1115.2,ERBB3,erb-b2 receptor tyrosine kinase 3
3993,3.33E-94,1.09E-96,0.151,-20.86593,-3.157713,2741.69,LLGL2,LLGL scribble cell polarity complex component 2
114569,2.39E-93,7.97E-96,0.33,-20.77069,-6.855017,402.03,MAL2,"mal, T cell differentiation protein 2"
684,1.22E-92,4.14E-95,0.24,-20.69144,-4.959405,558.77,BST2,bone marrow stromal cell antigen 2
595,2.41E-92,8.26E-95,0.19,-20.65804,-3.917911,2352.54,CCND1,cyclin D1
155185,4.39E-92,1.53E-94,0.231,-20.62827,-4.772128,458.4,AMZ1,archaelysin family metallopeptidase 1
347902,3.06E-91,1.08E-93,0.22,-20.53354,-4.508909,483.55,AMIGO2,adhesion molecule with Ig like domain 2
6469,4.30E-91,1.54E-93,0.329,-20.51631,-6.752203,373.83,SHH,sonic hedgehog signaling molecule
283149,5.74E-91,2.09E-93,0.172,-20.50151,-3.518515,682.76,BCL9L,BCL9 like
202915,9.65E-91,3.61E-93,0.193,-20.47488,-3.961391,618.41,TMEM184A,transmembrane protein 184A
257000,9.65E-91,3.59E-93,0.276,-20.47509,-5.655369,360.44,TINCR,TINCR ubiquitin domain containing
23462,1.16E-90,4.38E-93,0.31,20.46537,6.340485,662.25,HEY1,hes related family bHLH transcription factor with YRPW motif 1
10512,2.23E-89,8.57E-92,0.233,-20.31995,-4.737962,3042.84,SEMA3C,semaphorin 3C
57575,1.23E-88,4.79E-91,0.197,20.23527,3.99585,845.26,PCDH10,protocadherin 10
9590,5.01E-88,1.97E-90,0.285,20.16531,5.743108,547.02,AKAP12,A-kinase anchoring protein 12
22836,8.19E-88,3.27E-90,0.154,-20.14035,-3.096175,3485.61,RHOBTB3,Rho related BTB domain containing 3
7764,9.08E-88,3.67E-90,0.219,-20.13458,-4.409218,3089.97,ZNF217,zinc finger protein 217
